question,error_type,is_impossible,gold_answers,predicted_answer,predicted_no_answer,f1,chunk_id,gold_chunk_id,section_title,bert_score,reranked_rank,retrieval_score,reranker_score
Quale formula esatta riportava la bolla di Papa Urbano II che confermò il possedimento al Vescovo Augerio?,false_answer,True,[],CASTRUM JACHIS CUM OMNIBUS,False,0.0,chunk_0036,,VALVERDE,0.010065761103760451,1,0.8213708400726318,0.927836537361145
Quale autore locale descrisse la processione da Jachium a Vallis Virdis dopo la conversione di Dionisio?,false_answer,True,[],Egidio,False,0.0,chunk_0033,,VALVERDE,0.8576772656087996,1,0.8621116876602173,0.9774311184883118
"Secondo la leggenda, chi fu arrestato e trascinato per tre volte in giro per il paese prima di essere portato al Castello?",wrong_span,False,"['il povero disgraziato cacciatore', 'povero disgraziato cacciatore', 'cacciatore']","Poscia,",False,0.0,chunk_0090,chunk_0091,IL CANTO DEL CARCERATO,0.9756459174896008,2,0.8045949935913086,0.9582374691963196
Da quali materiali fu costruita la chiesa di S. Giuseppe ad Aci Castello?,false_no_answer,False,"['materiale ricavato dalla demolizione delle mura di cinta ed altro materiale prelevato dal Castello', 'materiale ricavato dalla demolizione delle mura di cinta', 'mura di cinta ed altro materiale prelevato dal Castello']",La risposta non è presente nel contesto.,True,0.0,chunk_0085,chunk_0085,LA CHIESA DI S. GIUSEPPE,0.09820699971169233,1,0.8571025133132935,0.9994072914123535
In quale anno fu ultimata la Chiesa di S. Mauro?,wrong_span,False,"[""nell'anno 1797"", '1797']",1718,False,0.0,chunk_0079,chunk_0082,LA CHIESA DI S. MAURO,0.9788561289460631,1,0.8343861103057861,0.9991555213928223
Quale capitano fu incaricato da Martino di assediare il Castello dopo la partenza del generale Cruillas?,false_answer,True,[],Artale,False,0.0,chunk_0059,,RE MARTINO,0.25443873339827405,1,0.8455129861831665,0.9958827495574951
Chi difese strenuamente il Castello durante l'assedio del 1396?,false_no_answer,False,"['Artale Alagona', 'Artale']",La risposta non è presente nel contesto.,True,0.0,chunk_0061,chunk_0100,RE MARTINO,0.6372813582420349,1,0.8055025935173035,0.8883495330810547
In quale anno Re Martino si accampò sul Castellaccio per tenere in assedio il Castello difeso da Artale Alagona?,false_no_answer,False,"['nel 1396', '1396']",La risposta non è presente nel contesto.,True,0.0,chunk_0061,chunk_0100,RE MARTINO,0.5895412564277649,3,0.8501952886581421,0.9934119582176208
Quale nobile famiglia apparteneva al giovane Giovanni detenuto nelle prigioni del Castello?,false_answer,True,[],"Siracusa,",False,0.0,chunk_0093,,IL CANTO DEL CARCERATO,0.959046317722823,1,0.8071799874305725,0.9368783235549927
Quale richiesta d'appello presentarono Giovanni e Antonio prima di progettare l'evasione dal Castello?,false_answer,True,[],permesso di andare a prendere la coperta.,False,0.0,chunk_0095,,IL CANTO DEL CARCERATO,0.28625926561653614,2,0.8379601836204529,0.9036304950714111
"Secondo la leggenda, chi fece chiamare il prigioniero dopo averlo udito cantare nel Castello?",false_no_answer,False,"['il Duca', 'Duca']",La risposta non è presente nel contesto.,True,0.0,chunk_0092,chunk_0092,IL CANTO DEL CARCERATO,0.21227808919502422,1,0.8450053930282593,0.9723764657974243
"Secondo la leggenda, per quale motivo il povero cacciatore fu condannato a essere seppellito vivo in una tetra prigione?",false_no_answer,False,"[""Per un nulla era diventato un nemico del governatore e forse del Duca Massa. L'uccisione dell'uccello, lo sgarbo patito doveva essere punito."", 'Per un nulla era diventato un nemico del governatore e forse del Duca Massa.', ""L'uccisione dell'uccello, lo sgarbo patito doveva essere punito."", ""L'uccisione dell'uccello""]",La risposta non è presente nel contesto.,True,0.0,chunk_0091,chunk_0091,IL CANTO DEL CARCERATO,0.1886509358882904,1,0.8332298994064331,0.8948339819908142
Quali scogli e rupi basaltiche sono considerati come avanzi dei vulcanetti della piana neozoica?,wrong_span,False,"['gli scogli e rupi basaltiche dei ciclopi, di Aci-Castello, di Motta S. Anastasia, di Paternò, ecc.', 'scogli e rupi basaltiche dei ciclopi, di Aci-Castello, di Motta S. Anastasia, di Paternò, ecc.', 'dei ciclopi, di Aci-Castello, di Motta S. Anastasia, di Paternò, ecc.']","ciclopi,",False,0.15384615384615385,chunk_0009,chunk_0009,POCHE NOTE DI GEOLOGIA,0.02734954282641411,1,0.8944054841995239,0.9999113082885742
Quale grotta viene indicata come una delle abitazioni troglodite legate al Castello di Aci Castello?,wrong_span,False,"['quella grotta che si apre sul lato nord-est del Castello', 'quella grotta che si apre sul lato nord-est', 'grotta che si apre sul lato nord-est del Castello', 'grotta che si apre sul lato nord-est']",grotta dell'Eremita,False,0.18181818181818182,chunk_0011,chunk_0010,I PRIMI ABITATORI DELLA TERRA D'ACI,0.07295848429203033,1,0.841631293296814,0.987747073173523
Quale repubblica marinara distrusse nel 1071 cinque navi saracene nel porto di Palermo?,wrong_span,False,"['la repubblica marinara di Pisa', 'Pisa', 'repubblica marinara di Pisa']",Pisa ebbe la sua parte. Infatti fu la flotta Pisana,False,0.26666666666666666,chunk_0031,chunk_0031,PERIODO NORMANNO,0.25660353899002075,1,0.8331917524337769,0.9999711513519287
Quanto tempo durò il dominio arabo sul Castello di Aci?,wrong_span,False,['170 anni'],67 anni,False,0.5,chunk_0025,chunk_0027,PERIODO SARACENO,0.029816340655088425,1,0.8535940647125244,0.8736829161643982
Dove fu trasportato Giovanni dal vento dopo il salto nel vuoto nel tentativo di fuga dal Castello?,wrong_span,False,"['in mare oltre la plaga', 'mare oltre la plaga']",in mare,False,0.5714285714285715,chunk_0095,chunk_0095,IL CANTO DEL CARCERATO,0.7287946343421936,1,0.8435258269309998,0.9797422289848328
Chi fece ricostruire la chiesa di S. Mauro dopo la sciagura del 1693?,wrong_span,False,['Don Cristoforo'],"Don Cristoforo Massa,",False,0.8,chunk_0088,chunk_0077,SCIAGURA IN TERRA D'ACI,1.6787479622289538,4,0.844167172908783,0.9964011907577515
